idx,score,mean_dist,sd_dist,cv_dist,min_dist,max_dist,range_dist,skewness,kurtosis,bottleneck_w1,bottleneck_w2,bottleneck_dist,potential_mean,improvement,km_cluster,topology
15536,84.00195525,0.91765386,0.07632148,0.08317023,0.7368446,1.0466851,0.3098405,-0.42482147,-0.2321446,стул,дом,0.7368446,0.9266944,0.0090405345,3,Uniform
15537,83.55976102,0.91425776,0.10034008,0.10975032,0.74240756,1.065599,0.3231914,-0.04656456,-1.1726582,топор,лазер,0.74240756,0.9228503,0.008592546,0,Uniform
15538,92.96176143,0.9808188,0.10468919,0.10673652,0.7637555,1.1265736,0.36281806,-0.5768612,-0.38470316,земля,карта,0.7637555,0.9916719,0.010853112,3,Uniform
15539,93.4948853,0.9842828,0.101457514,0.103077605,0.8541299,1.197654,0.3435241,0.73353696,-0.52813745,семантика,дивергенция,0.8541299,0.9907905,0.0065076947,0,Uniform
15540,91.46796352,0.970954,0.088103764,0.09073938,0.77319276,1.0766114,0.30341864,-0.59128344,-0.7906561,каркас,леер,0.77319276,0.980842,0.009887993,3,Uniform
15541,89.81962167,0.9597842,0.12998015,0.13542643,0.725505,1.2127529,0.48724794,-0.13145936,-0.83508086,метафора,инновация,0.725505,0.97149813,0.011713922,0,Uniform
15542,91.17110125,0.968965,0.11154363,0.11511627,0.7179451,1.1278205,0.4098754,-0.68015856,-0.27238393,дурак,женщина,0.7179451,0.981516,0.01255101,3,Uniform
15543,82.17076645,0.90339005,0.105982885,0.117316864,0.70221955,1.1358105,0.43359095,0.03203582,-0.010617256,мох,клей,0.70221955,0.91344863,0.010058582,0,Uniform
15544,89.56879298,0.95805705,0.10501892,0.10961656,0.78018045,1.1616718,0.3814913,0.1530519,-0.6426103,адаптация,почка,0.78018045,0.9669509,0.008893847,0,Uniform
15545,92.4500207,0.9774659,0.13226865,0.13531792,0.7636571,1.2103537,0.44669664,0.24985415,-1.15032,стол,замок,0.7636571,0.98815644,0.01069051,0,Uniform
15546,86.62526011,0.9372108,0.11625973,0.12404865,0.74302804,1.1338392,0.3908112,0.100794435,-1.0880849,офтальмолог,экстремум,0.74302804,0.94692004,0.009709239,0,Uniform
15547,92.87027989,0.98022133,0.10132207,0.103366524,0.8204428,1.1902635,0.3698207,0.1111324,-0.99739337,нейросеть,ксилема,0.8204428,0.9882103,0.007988989,0,Uniform
15548,77.64381726,0.86561495,0.104527734,0.120755464,0.633656,1.0602543,0.4265983,-0.27204373,-0.3519404,кетчуп,крем,0.633656,0.8772129,0.011597931,0,Uniform
15549,87.22834343,0.941572,0.08819746,0.093670435,0.6888402,1.0615814,0.37274116,-1.1796124,1.269064,аристократия,ассамблея,0.6888402,0.9542087,0.0126366615,3,Uniform
15550,79.85569657,0.8845522,0.085703254,0.09688886,0.6954471,1.0499066,0.35445952,-0.40829048,-0.26446342,диван,дом,0.6954471,0.8940075,0.009455323,3,Uniform
15551,65.94504006,0.74366635,0.13974214,0.18790972,0.36440974,0.9907573,0.62634754,-0.8526228,1.262001,птица,сова,0.36440974,0.76262915,0.0189628,3,Star
15552,73.68753883,0.8290471,0.09364324,0.11295286,0.633124,0.96964574,0.33652174,-0.42320454,-0.56414056,стол,телевизор,0.633124,0.83884317,0.009796083,3,Uniform
15553,83.37182372,0.91280526,0.123368934,0.13515362,0.6206189,1.1263263,0.50570744,-0.6409076,0.04744768,бахилы,халат,0.6206189,0.9274146,0.014609337,3,Uniform
15554,85.24608969,0.92705154,0.12056248,0.13004938,0.69128627,1.0828472,0.39156097,-0.4826031,-0.9219048,арка,оранжерея,0.69128627,0.9388399,0.011788368,3,Uniform
15555,87.26123286,0.9418085,0.085292116,0.09056205,0.81190455,1.1429921,0.3310876,0.8642182,0.19294333,коллайдер,ершик,0.81190455,0.9483037,0.0064951777,0,Uniform
15556,91.42916268,0.9706945,0.08609744,0.08869675,0.77392745,1.1515089,0.37758148,-0.15781915,0.048412085,верблюд,червь,0.77392745,0.98053294,0.009838462,0,Uniform
15557,86.99906095,0.9399197,0.11292627,0.12014459,0.55841076,1.0929768,0.53456604,-1.735398,4.258522,тарелка,каша,0.55841076,0.95899504,0.019075334,1,Uniform
