word,dat_frequency,mean_score,category,umap_x,umap_y
танчико,1,87.05669133,UNCATEGORIZED,2.0516033,6.4771805
видеомагнитофон,1,88.32372691,UNCATEGORIZED,3.0915174,5.9065833
сникерс,1,80.32555864,UNCATEGORIZED,2.987443,2.3314013
иннервация,1,94.65906549,UNCATEGORIZED,7.3763723,3.4482396
облучение,1,91.72162963,UNCATEGORIZED,6.3673434,3.6934974
оскал,1,85.66058267,UNCATEGORIZED,4.6792364,4.243147
накопление,1,83.06752049,UNCATEGORIZED,8.1772585,6.2996874
нокс,2,94.982332945,UNCATEGORIZED,0.20350768,6.947183
пятистенка,1,72.68574081,UNCATEGORIZED,3.9507685,6.2291565
оговор,1,80.85821848,UNCATEGORIZED,7.698568,5.7990212
админ,1,89.82716715,UNCATEGORIZED,2.6914437,8.9615135
бульбуля,1,81.93675095,UNCATEGORIZED,0.8702951,7.132882
водник,1,81.93675095,UNCATEGORIZED,1.2871453,7.517805
фотосессия,1,93.82706857,UNCATEGORIZED,6.6947365,5.6326575
эмбриология,1,92.21252955,UNCATEGORIZED,6.8425593,4.5087056
гем,1,98.34766806,UNCATEGORIZED,0.7460797,6.8742824
фортель,1,96.82434717,UNCATEGORIZED,5.9251,6.462868
депря,1,86.6594368,UNCATEGORIZED,1.092608,6.8048906
ментал,1,77.2803346,UNCATEGORIZED,2.6620193,6.5512295
непроницаемость,1,77.03693574,UNCATEGORIZED,9.41381,4.6521854
растление,1,92.30199436,UNCATEGORIZED,8.517962,5.72899
домогательство,1,92.6191141,UNCATEGORIZED,8.344142,5.349111
домище,1,65.79703313,UNCATEGORIZED,4.0724134,6.340536
вертел,3,92.573763,UNCATEGORIZED,2.8369074,3.6935232
батл,2,92.17890082,UNCATEGORIZED,1.1972036,6.92821
саб,1,90.62852145,UNCATEGORIZED,0.8815478,6.9057064
ровесник,1,87.54816579,UNCATEGORIZED,2.205483,8.722789
тироксин,1,89.61357442,UNCATEGORIZED,5.7818475,2.385144
