word,dat_freq,corpus_freq,log_corpus_freq,zipf_freq,mean_score_contrib,in_vocab,dat_freq_rank,corpus_freq_rank
сак,2,5.01e-07,-6.300162274132754,2.7,0.88166434,True,9435.0,8380.0
саквояж,13,5.01e-07,-6.300162274132754,2.7,0.951972,True,2412.0,8380.0
сакля,2,1.78e-08,-7.749579997691106,1.25,0.9000079,True,9435.0,16150.0
сакрализация,1,2.57e-08,-7.590066876668706,1.41,0.87274534,True,11961.0,15854.0
сакральность,1,1.02e-07,-6.991399828238082,2.01,0.8966451,True,11961.0,13450.0
саксаул,1,7.24e-08,-7.140261433802853,1.86,0.86360997,True,11961.0,14316.0
саксон,1,3.47e-07,-6.459670525209126,2.54,1.014144,True,11961.0,9607.0
саксонец,1,4.57e-08,-7.34008379993015,1.66,0.8598396,True,11961.0,15165.0
саксофон,24,7.94e-07,-6.100179497572904,2.9,0.9344413,True,1197.0,6950.0
сакура,5,2.4e-06,-5.619788758288394,3.38,0.95598084,True,5709.0,3935.0
сакэ,2,4.57e-07,-6.34008379993015,2.66,0.99500585,True,9435.0,8677.0
сал,1,9.55e-07,-6.019996628416254,2.98,1.0493613,True,11961.0,6359.0
салага,3,1.78e-07,-6.749579997691106,2.25,0.9618113,True,7747.0,11856.0
салазки,6,1.15e-07,-6.939302159646388,2.06,1.017217,True,4962.0,13121.0
салай,1,3.55e-08,-7.449771646944906,1.55,0.80283564,True,11961.0,15496.0
саламандра,2,3.16e-07,-6.5003129173815966,2.5,0.97361773,True,9435.0,9934.0
салат,40,1.02e-05,-4.991399828238082,4.01,0.95663875,True,606.0,1529.0
салатница,2,2.4e-08,-7.619788758288394,1.38,0.89791054,True,9435.0,15926.0
салдата,1,0.0,,0.0,1.093558,True,11961.0,16422.0
сало,22,3.39e-06,-5.4698003017969175,3.53,0.9347389,True,1328.0,3222.0
салон,4,1.26e-05,-4.8996294548824375,4.1,0.89200836,True,6612.0,1294.0
салоп,3,0.0,,0.0,0.9294996,True,7747.0,16422.0
салочка,1,0.0,,0.0,0.97553796,True,11961.0,16422.0
салфетка,49,4.9e-07,-6.309803919971486,2.69,0.9336682,True,455.0,8440.0
сальдо,3,2.29e-06,-5.640164517660112,3.36,0.9328324,True,7747.0,4035.0
сальмонелла,6,4.68e-08,-7.329754146925876,1.67,0.95591384,True,4962.0,15122.0
сальмонеллез,2,5.01e-08,-7.300162274132754,1.7,0.9698551,True,9435.0,15025.0
сальник,3,1.66e-07,-6.779891911959945,2.22,0.9317887,True,7747.0,12066.0
сальса,4,6.46e-07,-6.189767482004916,2.81,0.94879276,True,6612.0,7583.0
сальто,10,1.62e-06,-5.790484985457369,3.21,0.9819651,True,3149.0,4919.0
сальце,1,1.23e-08,-7.910094888560602,1.09,0.89243144,True,11961.0,16333.0
салют,22,6.61e-06,-5.179798540514359,3.82,0.97413427,True,1328.0,2045.0
салями,2,5.75e-07,-6.2403321553103694,2.76,0.91325784,True,9435.0,7956.0
самаритянин,2,8.32e-08,-7.079876673709276,1.92,0.9808443,True,9435.0,14013.0
самба,1,9.77e-07,-6.010105436281227,2.99,0.95178753,True,11961.0,6276.0
самбо,4,3.89e-06,-5.410050398674292,3.59,0.9873442,True,6612.0,2941.0
самец,5,3.55e-06,-5.449771646944906,3.55,0.9657005,True,5709.0,3122.0
самиздат,2,4.07e-07,-6.39040559077478,2.61,0.9741288,True,9435.0,9070.0
самка,5,3.31e-06,-5.480172006224281,3.52,1.0019969,True,5709.0,3257.0
самобичевание,1,1.78e-07,-6.749579997691106,2.25,0.8598816,True,11961.0,11856.0
самобытность,2,8.51e-07,-6.070070439915412,2.93,0.9852322,True,9435.0,6729.0
самовар,33,1.1e-06,-5.958607314841775,3.04,0.95322716,True,797.0,5951.0
самоволк,2,0.0,,0.0,0.8537422,True,9435.0,16422.0
самовыражение,2,3.55e-07,-6.449771646944906,2.55,0.8962185,True,9435.0,9539.0
самогон,16,1.12e-06,-5.950781977329818,3.05,0.95325947,True,1928.0,5890.0
самодержавие,2,4.79e-07,-6.319664486585437,2.68,0.9562709,True,9435.0,8524.0
самодостаточность,1,3.39e-07,-6.4698003017969175,2.53,0.8844061,True,11961.0,9689.0
самоед,1,7.59e-08,-7.11975822410452,1.88,0.9798041,True,11961.0,14227.0
самозванец,7,1.55e-06,-5.809668301829708,3.19,0.9770062,True,4372.0,5057.0
самоидентификация,1,1.95e-07,-6.709965388637482,2.29,0.9779461,True,11961.0,11538.0
самоистязание,1,5.89e-08,-7.229884705212898,1.77,0.93752164,True,11961.0,14721.0
самокат,31,3.8e-07,-6.42021640338319,2.58,0.9652213,True,868.0,9310.0
самокопание,1,6.17e-08,-7.209714835966758,1.79,0.9996295,True,11961.0,14645.0
самолет,332,5.13e-05,-4.289882634888183,4.71,0.9509122,True,17.0,330.0
