timestamp,score,words,time_spent
2026-02-18T12:50:11.419Z,93.55860407,"совок, письмо, тарелка, нирвана, синапс, хромосома, тузик",36
2026-02-18T12:50:44.365Z,84.56272186,"око, фентези, стартап, лопата, астронавт, компиляция, суспензия",159
2026-02-18T12:50:47.304Z,89.08354713,"сон, крыса, дизайн, лишай, чашка, вирус, банка",69
2026-02-18T12:51:07.557Z,89.94547793,"парта, кондиционер, фуражка, мандарин, философия, стекло, чернота",46
2026-02-18T12:51:07.765Z,88.81067142,"финик, реконструкция, омоним, полиция, колонна, колония, онкология",144
2026-02-18T12:51:28.906Z,94.145627,"паперть, скорпион, матрица, амбассадор, ганглий, гнев, зарево",146
2026-02-18T12:52:22.025Z,94.6948715,"фонетика, колодец, мозг, самолет, любовь, социализм, стетоскоп",128
2026-02-18T12:52:22.522Z,74.52335479,"поле, квадрат, понедельник, мяч, воздух, гроб, купол",558
2026-02-18T12:52:40.306Z,81.51285002,"гликоген, выхухоль, парафраз, коромысло, ихтиолог, прикормка, чресла",270
2026-02-18T12:52:50.304Z,89.99108837,"столб, плов, холст, хвоя, заря, символ, шопот",70
2026-02-18T12:53:44.020Z,95.55660556,"парафраз, ихтиандр, команда, слабость, выхухоль, конвенция, гликоген",329
2026-02-18T12:53:59.352Z,83.16745415,"шушун, феодал, утопия, интеграл, росток, композиция, галактика",143
2026-02-18T12:55:12.691Z,90.65793856,"консорциум, выгул, бестия, клинч, фонтан, пост, тесак",116
2026-02-18T12:55:44.926Z,92.80104664,"волк, амбивалентность, сухожилие, изба, словоблудие, сарацин, чебурек",133
2026-02-18T12:55:47.615Z,81.7714374,"пакет, доска, венок, профессор, одеяло, овощ, сундук",95
2026-02-18T12:55:48.598Z,63.0319518,"жар, холод, тьма, вспышка, шум, тишина, голод",45
2026-02-18T12:55:56.484Z,86.40689811,"минарет, вода, галактика, блин, чурбан, клей, прикол",111
2026-02-18T12:57:21.176Z,88.15900841,"месть, жаровня, люмен, контрабас, атрибут, нора, сатисфакция",82
